category,split,defect_type,label,sample_id,sample_position,image_height,image_width,patch_count,image_score,heatmap_path,figure_path,ground_truth_pixel_count
bagel,test,good,0,14,14,272,256,219,15.467148780822754,outputs/metrics/classical_heatmaps/bagel_preview_compare/bagel/good/14_heatmap.npy,,0
bagel,test,good,0,15,15,256,272,219,3.6273322105407715,outputs/metrics/classical_heatmaps/bagel_preview_compare/bagel/good/15_heatmap.npy,,0
bagel,test,good,0,16,16,256,272,221,4.7258124351501465,outputs/metrics/classical_heatmaps/bagel_preview_compare/bagel/good/16_heatmap.npy,,0
bagel,test,good,0,17,17,256,272,221,13.409053802490234,outputs/metrics/classical_heatmaps/bagel_preview_compare/bagel/good/17_heatmap.npy,,0
bagel,test,good,0,18,18,256,256,209,14.101000785827637,outputs/metrics/classical_heatmaps/bagel_preview_compare/bagel/good/18_heatmap.npy,,0
bagel,test,good,0,19,19,272,256,225,22.52423858642578,outputs/metrics/classical_heatmaps/bagel_preview_compare/bagel/good/19_heatmap.npy,,0
bagel,test,good,0,20,20,256,272,224,18.024673461914062,outputs/metrics/classical_heatmaps/bagel_preview_compare/bagel/good/20_heatmap.npy,,0
bagel,test,good,0,21,21,256,272,219,51.975223541259766,outputs/metrics/classical_heatmaps/bagel_preview_compare/bagel/good/21_heatmap.npy,,0
bagel,test,combined,1,0,22,256,272,223,30.186201095581055,outputs/metrics/classical_heatmaps/bagel_preview_compare/bagel/combined/0_heatmap.npy,fig/04_classical/bagel_preview_compare_heatmaps/bagel/combined/0_heatmap.png,2448
bagel,test,combined,1,1,23,256,272,220,0.11656570434570312,outputs/metrics/classical_heatmaps/bagel_preview_compare/bagel/combined/1_heatmap.npy,fig/04_classical/bagel_preview_compare_heatmaps/bagel/combined/1_heatmap.png,2042
bagel,test,combined,1,2,24,256,256,204,6.396949768066406,outputs/metrics/classical_heatmaps/bagel_preview_compare/bagel/combined/2_heatmap.npy,fig/04_classical/bagel_preview_compare_heatmaps/bagel/combined/2_heatmap.png,1394
bagel,test,combined,1,3,25,256,272,221,10.043482780456543,outputs/metrics/classical_heatmaps/bagel_preview_compare/bagel/combined/3_heatmap.npy,fig/04_classical/bagel_preview_compare_heatmaps/bagel/combined/3_heatmap.png,2336
bagel,test,combined,1,4,26,256,272,222,10.880463600158691,outputs/metrics/classical_heatmaps/bagel_preview_compare/bagel/combined/4_heatmap.npy,fig/04_classical/bagel_preview_compare_heatmaps/bagel/combined/4_heatmap.png,409
bagel,test,combined,1,5,27,256,272,222,14.667168617248535,outputs/metrics/classical_heatmaps/bagel_preview_compare/bagel/combined/5_heatmap.npy,,533
bagel,test,combined,1,6,28,256,272,222,6.372098922729492,outputs/metrics/classical_heatmaps/bagel_preview_compare/bagel/combined/6_heatmap.npy,,529
bagel,test,combined,1,7,29,272,256,223,9.445263862609863,outputs/metrics/classical_heatmaps/bagel_preview_compare/bagel/combined/7_heatmap.npy,,2341
bagel,test,combined,1,8,30,256,272,218,7.187452793121338,outputs/metrics/classical_heatmaps/bagel_preview_compare/bagel/combined/8_heatmap.npy,,1579
bagel,test,combined,1,9,31,272,256,221,11.797425270080566,outputs/metrics/classical_heatmaps/bagel_preview_compare/bagel/combined/9_heatmap.npy,,656
bagel,test,combined,1,10,32,256,272,217,12.770137786865234,outputs/metrics/classical_heatmaps/bagel_preview_compare/bagel/combined/10_heatmap.npy,,1462
bagel,test,combined,1,11,33,272,256,222,-4.5152974128723145,outputs/metrics/classical_heatmaps/bagel_preview_compare/bagel/combined/11_heatmap.npy,,871
bagel,test,combined,1,12,34,256,272,222,18.36614418029785,outputs/metrics/classical_heatmaps/bagel_preview_compare/bagel/combined/12_heatmap.npy,,1678
bagel,test,combined,1,13,35,256,272,223,11.180815696716309,outputs/metrics/classical_heatmaps/bagel_preview_compare/bagel/combined/13_heatmap.npy,,1983
bagel,test,combined,1,14,36,288,240,203,53.9461784362793,outputs/metrics/classical_heatmaps/bagel_preview_compare/bagel/combined/14_heatmap.npy,,1313
bagel,test,combined,1,15,37,256,272,219,12.922582626342773,outputs/metrics/classical_heatmaps/bagel_preview_compare/bagel/combined/15_heatmap.npy,,503
bagel,test,combined,1,16,38,256,272,223,7.921102523803711,outputs/metrics/classical_heatmaps/bagel_preview_compare/bagel/combined/16_heatmap.npy,,703
bagel,test,combined,1,17,39,272,256,223,2.627930164337158,outputs/metrics/classical_heatmaps/bagel_preview_compare/bagel/combined/17_heatmap.npy,,894
bagel,test,combined,1,18,40,256,272,218,14.235692977905273,outputs/metrics/classical_heatmaps/bagel_preview_compare/bagel/combined/18_heatmap.npy,,482
bagel,test,combined,1,19,41,256,272,219,11.848916053771973,outputs/metrics/classical_heatmaps/bagel_preview_compare/bagel/combined/19_heatmap.npy,,1946
bagel,test,combined,1,20,42,256,272,217,5.07537841796875,outputs/metrics/classical_heatmaps/bagel_preview_compare/bagel/combined/20_heatmap.npy,,1828
bagel,test,combined,1,21,43,256,272,219,15.970335960388184,outputs/metrics/classical_heatmaps/bagel_preview_compare/bagel/combined/21_heatmap.npy,,1381
bagel,test,combined,1,22,44,256,272,220,1.4208225011825562,outputs/metrics/classical_heatmaps/bagel_preview_compare/bagel/combined/22_heatmap.npy,,528
bagel,test,contamination,1,0,45,256,256,209,30.28276824951172,outputs/metrics/classical_heatmaps/bagel_preview_compare/bagel/contamination/0_heatmap.npy,,304
bagel,test,contamination,1,1,46,256,272,221,2.1616716384887695,outputs/metrics/classical_heatmaps/bagel_preview_compare/bagel/contamination/1_heatmap.npy,,199
bagel,test,contamination,1,2,47,256,272,218,5.546868801116943,outputs/metrics/classical_heatmaps/bagel_preview_compare/bagel/contamination/2_heatmap.npy,,388
bagel,test,contamination,1,3,48,272,256,224,-2.2716104984283447,outputs/metrics/classical_heatmaps/bagel_preview_compare/bagel/contamination/3_heatmap.npy,,304
bagel,test,contamination,1,4,49,256,256,209,4.513026714324951,outputs/metrics/classical_heatmaps/bagel_preview_compare/bagel/contamination/4_heatmap.npy,,451
bagel,test,contamination,1,5,50,256,272,222,10.026394844055176,outputs/metrics/classical_heatmaps/bagel_preview_compare/bagel/contamination/5_heatmap.npy,,228
bagel,test,contamination,1,6,51,256,272,221,7.51352071762085,outputs/metrics/classical_heatmaps/bagel_preview_compare/bagel/contamination/6_heatmap.npy,,281
bagel,test,contamination,1,7,52,272,256,218,6.49418830871582,outputs/metrics/classical_heatmaps/bagel_preview_compare/bagel/contamination/7_heatmap.npy,,369
bagel,test,contamination,1,8,53,256,272,221,4.900332450866699,outputs/metrics/classical_heatmaps/bagel_preview_compare/bagel/contamination/8_heatmap.npy,,565
bagel,test,contamination,1,9,54,256,272,221,15.540740966796875,outputs/metrics/classical_heatmaps/bagel_preview_compare/bagel/contamination/9_heatmap.npy,,289
bagel,test,contamination,1,10,55,256,272,221,9.515498161315918,outputs/metrics/classical_heatmaps/bagel_preview_compare/bagel/contamination/10_heatmap.npy,,148
bagel,test,contamination,1,11,56,256,272,223,7.267213821411133,outputs/metrics/classical_heatmaps/bagel_preview_compare/bagel/contamination/11_heatmap.npy,,289
bagel,test,contamination,1,12,57,256,272,225,-3.441885232925415,outputs/metrics/classical_heatmaps/bagel_preview_compare/bagel/contamination/12_heatmap.npy,,350
bagel,test,contamination,1,13,58,256,272,216,18.67644500732422,outputs/metrics/classical_heatmaps/bagel_preview_compare/bagel/contamination/13_heatmap.npy,,214
bagel,test,contamination,1,14,59,256,272,224,1.9839941263198853,outputs/metrics/classical_heatmaps/bagel_preview_compare/bagel/contamination/14_heatmap.npy,,266
bagel,test,contamination,1,15,60,272,256,221,31.843603134155273,outputs/metrics/classical_heatmaps/bagel_preview_compare/bagel/contamination/15_heatmap.npy,,298
bagel,test,contamination,1,16,61,240,288,217,31.315458297729492,outputs/metrics/classical_heatmaps/bagel_preview_compare/bagel/contamination/16_heatmap.npy,,233
bagel,test,contamination,1,17,62,256,272,221,35.312164306640625,outputs/metrics/classical_heatmaps/bagel_preview_compare/bagel/contamination/17_heatmap.npy,,235
bagel,test,contamination,1,18,63,256,272,222,39.15449905395508,outputs/metrics/classical_heatmaps/bagel_preview_compare/bagel/contamination/18_heatmap.npy,,223
bagel,test,contamination,1,19,64,256,272,224,8.110798835754395,outputs/metrics/classical_heatmaps/bagel_preview_compare/bagel/contamination/19_heatmap.npy,,522
bagel,test,contamination,1,20,65,256,272,227,54.94685745239258,outputs/metrics/classical_heatmaps/bagel_preview_compare/bagel/contamination/20_heatmap.npy,,321
bagel,test,contamination,1,21,66,256,272,219,11.826354026794434,outputs/metrics/classical_heatmaps/bagel_preview_compare/bagel/contamination/21_heatmap.npy,,150
bagel,test,crack,1,0,67,256,272,225,55.070465087890625,outputs/metrics/classical_heatmaps/bagel_preview_compare/bagel/crack/0_heatmap.npy,,896
bagel,test,crack,1,1,68,256,272,221,48.09580612182617,outputs/metrics/classical_heatmaps/bagel_preview_compare/bagel/crack/1_heatmap.npy,,1689
bagel,test,crack,1,2,69,256,272,224,7.081204891204834,outputs/metrics/classical_heatmaps/bagel_preview_compare/bagel/crack/2_heatmap.npy,,1074
bagel,test,crack,1,3,70,256,272,222,-0.7387683987617493,outputs/metrics/classical_heatmaps/bagel_preview_compare/bagel/crack/3_heatmap.npy,,994
bagel,test,crack,1,4,71,256,272,220,6.027263164520264,outputs/metrics/classical_heatmaps/bagel_preview_compare/bagel/crack/4_heatmap.npy,,750
bagel,test,crack,1,5,72,240,288,213,40.86601257324219,outputs/metrics/classical_heatmaps/bagel_preview_compare/bagel/crack/5_heatmap.npy,,2815
bagel,test,crack,1,6,73,256,272,224,7.530971527099609,outputs/metrics/classical_heatmaps/bagel_preview_compare/bagel/crack/6_heatmap.npy,,1564
bagel,test,crack,1,7,74,256,272,222,9.799958229064941,outputs/metrics/classical_heatmaps/bagel_preview_compare/bagel/crack/7_heatmap.npy,,1526
bagel,test,crack,1,8,75,256,272,222,3.554670572280884,outputs/metrics/classical_heatmaps/bagel_preview_compare/bagel/crack/8_heatmap.npy,,1248
bagel,test,crack,1,9,76,240,288,202,50.05299377441406,outputs/metrics/classical_heatmaps/bagel_preview_compare/bagel/crack/9_heatmap.npy,,987
bagel,test,crack,1,10,77,240,288,203,47.660099029541016,outputs/metrics/classical_heatmaps/bagel_preview_compare/bagel/crack/10_heatmap.npy,,665
bagel,test,crack,1,11,78,256,272,221,2.9702823162078857,outputs/metrics/classical_heatmaps/bagel_preview_compare/bagel/crack/11_heatmap.npy,,1598
bagel,test,crack,1,12,79,256,272,217,14.732868194580078,outputs/metrics/classical_heatmaps/bagel_preview_compare/bagel/crack/12_heatmap.npy,,1382
bagel,test,crack,1,13,80,272,256,220,8.291169166564941,outputs/metrics/classical_heatmaps/bagel_preview_compare/bagel/crack/13_heatmap.npy,,1561
bagel,test,crack,1,14,81,256,272,223,12.27327823638916,outputs/metrics/classical_heatmaps/bagel_preview_compare/bagel/crack/14_heatmap.npy,,1795
bagel,test,crack,1,15,82,256,272,220,6.092071533203125,outputs/metrics/classical_heatmaps/bagel_preview_compare/bagel/crack/15_heatmap.npy,,716
bagel,test,crack,1,16,83,256,272,217,30.106922149658203,outputs/metrics/classical_heatmaps/bagel_preview_compare/bagel/crack/16_heatmap.npy,,973
bagel,test,crack,1,17,84,256,272,220,8.887245178222656,outputs/metrics/classical_heatmaps/bagel_preview_compare/bagel/crack/17_heatmap.npy,,3874
bagel,test,crack,1,18,85,256,272,222,3.404374361038208,outputs/metrics/classical_heatmaps/bagel_preview_compare/bagel/crack/18_heatmap.npy,,1577
bagel,test,crack,1,19,86,256,256,207,-6.441166400909424,outputs/metrics/classical_heatmaps/bagel_preview_compare/bagel/crack/19_heatmap.npy,,1282
bagel,test,crack,1,20,87,256,272,220,12.064486503601074,outputs/metrics/classical_heatmaps/bagel_preview_compare/bagel/crack/20_heatmap.npy,,894
bagel,test,crack,1,21,88,272,256,224,13.202239990234375,outputs/metrics/classical_heatmaps/bagel_preview_compare/bagel/crack/21_heatmap.npy,,1165
bagel,test,hole,1,0,89,256,272,225,16.322879791259766,outputs/metrics/classical_heatmaps/bagel_preview_compare/bagel/hole/0_heatmap.npy,,406
bagel,test,hole,1,1,90,256,272,222,-2.4795830249786377,outputs/metrics/classical_heatmaps/bagel_preview_compare/bagel/hole/1_heatmap.npy,,393
bagel,test,hole,1,2,91,272,256,222,45.80147171020508,outputs/metrics/classical_heatmaps/bagel_preview_compare/bagel/hole/2_heatmap.npy,,327
bagel,test,hole,1,3,92,256,272,223,5.57952356338501,outputs/metrics/classical_heatmaps/bagel_preview_compare/bagel/hole/3_heatmap.npy,,214
bagel,test,hole,1,4,93,256,272,221,5.916088581085205,outputs/metrics/classical_heatmaps/bagel_preview_compare/bagel/hole/4_heatmap.npy,,298
bagel,test,hole,1,5,94,256,272,221,9.943114280700684,outputs/metrics/classical_heatmaps/bagel_preview_compare/bagel/hole/5_heatmap.npy,,102
bagel,test,hole,1,6,95,256,272,219,32.88139343261719,outputs/metrics/classical_heatmaps/bagel_preview_compare/bagel/hole/6_heatmap.npy,,151
bagel,test,hole,1,7,96,256,272,222,44.052433013916016,outputs/metrics/classical_heatmaps/bagel_preview_compare/bagel/hole/7_heatmap.npy,,301
bagel,test,hole,1,8,97,240,288,223,51.47547912597656,outputs/metrics/classical_heatmaps/bagel_preview_compare/bagel/hole/8_heatmap.npy,,370
bagel,test,hole,1,9,98,272,256,225,52.154964447021484,outputs/metrics/classical_heatmaps/bagel_preview_compare/bagel/hole/9_heatmap.npy,,249
bagel,test,hole,1,10,99,256,272,224,44.776248931884766,outputs/metrics/classical_heatmaps/bagel_preview_compare/bagel/hole/10_heatmap.npy,,217
bagel,test,hole,1,11,100,256,272,221,15.994074821472168,outputs/metrics/classical_heatmaps/bagel_preview_compare/bagel/hole/11_heatmap.npy,,342
bagel,test,hole,1,12,101,256,272,221,49.12278366088867,outputs/metrics/classical_heatmaps/bagel_preview_compare/bagel/hole/12_heatmap.npy,,274
bagel,test,hole,1,13,102,256,272,226,18.436124801635742,outputs/metrics/classical_heatmaps/bagel_preview_compare/bagel/hole/13_heatmap.npy,,291
bagel,test,hole,1,14,103,256,272,224,44.93472671508789,outputs/metrics/classical_heatmaps/bagel_preview_compare/bagel/hole/14_heatmap.npy,,283
bagel,test,hole,1,15,104,256,272,221,11.576888084411621,outputs/metrics/classical_heatmaps/bagel_preview_compare/bagel/hole/15_heatmap.npy,,156
bagel,test,hole,1,16,105,256,272,224,9.695478439331055,outputs/metrics/classical_heatmaps/bagel_preview_compare/bagel/hole/16_heatmap.npy,,208
bagel,test,hole,1,17,106,256,272,218,13.238595962524414,outputs/metrics/classical_heatmaps/bagel_preview_compare/bagel/hole/17_heatmap.npy,,302
bagel,test,hole,1,18,107,256,272,216,24.693504333496094,outputs/metrics/classical_heatmaps/bagel_preview_compare/bagel/hole/18_heatmap.npy,,397
bagel,test,hole,1,19,108,272,256,220,10.499759674072266,outputs/metrics/classical_heatmaps/bagel_preview_compare/bagel/hole/19_heatmap.npy,,807
bagel,test,hole,1,20,109,256,256,211,9.870881080627441,outputs/metrics/classical_heatmaps/bagel_preview_compare/bagel/hole/20_heatmap.npy,,258
